,Discipline,Language,Edited by,Publication details,History,Publisher,Frequency,Impact factor,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM ( alt ) · MathSciNet ( alt ),ISO 4,Indexing CODEN · JSTOR ( alt ) · LCCN ( alt ) MIAR · NLM ( alt ) · Scopus,CODEN,ISSN,LCCN,OCLC no.,Links,title,description,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM · MathSciNet,Former name(s),Open access,NLM,License,Editor,Categories,Year founded,Country,Website,OCLC,Indexing CODEN · JSTOR · LCCN MIAR · NLM · Scopus
132,"Photochemistry, Photobiology",English,"Dario Bassani, Santi Nonell","Dario Bassani, Santi Nonell",2002-present,Springer Nature (United Kingdom),,2.902 (2017),2.902 (2017),Photochem. Photobiol. Sci.,Photochem. Photobiol. Sci.,PPSHCB,1474-905X (print)1474-9092 (web),2002257028,49233320,49233320,Photochemical & Photobiological Sciences,"Photochemical & Photobiological Sciences is a monthly peer-reviewed scientific journal covering all areas of photochemistry and photobiology. It is published monthly by Springer Nature and is the official journal of the European Photochemistry Association, European Society for Photobiology, Asia and Oceania Society for Photobiology, and the Korean Society of Photoscience. The editors-in-chief are Dario Bassani and Santi Nonell. According to the Journal Citation Reports, the journal has a 2015 impact factor of 2.235.[1]
",,,,,,,,,,,,
133,"Physical chemistry, chemical physics, biophysical chemistry",English,David Rueda,David Rueda,1999-present,Royal Society of Chemistry (United Kingdom),Weekly,3.567 (2018),3.567 (2018),Phys. Chem. Chem. Phys.,Phys. Chem. Chem. Phys.,PPCPFQ,1463-9076 (print)1463-9084 (web),sn99047155,807667458,807667458,Physical Chemistry Chemical Physics,"Physical Chemistry Chemical Physics is a weekly peer-reviewed scientific journal publishing research and review articles on any aspect of physical chemistry, chemical physics, and biophysical chemistry. It is published by the Royal Society of Chemistry on behalf of eighteen participating societies. The editor-in-chief is David Rueda, (Imperial College London, UK).[1]
",,,,,,,,,,,,
134,Chemistry,English (volumes older than 1978 in Polish),,English (volumes older than 1978 in Polish),1921–2009,Polish Chemical Society (Poland),Monthly,,Monthly,Pol. J. Chem.,Pol. J. Chem.,PJCHDQ,0137-5083,78646285,03875870,03875870,Polish Journal of Chemistry,"The Polish Journal of Chemistry was a peer-reviewed scientific journal on chemistry and the official journal of the Polish Chemical Society. The journal covered all fields of pure chemistry (physical, theoretical, inorganic, organic and bioorganic) as well as medicinal, macromolecular and supramolecular chemistry, and molecular modelling. It was established in 1921 under the title Roczniki Chemii (ISSN 0035-7677) and obtained its later title in 1978. The last editor-in-chief was Z. Galus (University of Warsaw).
",,,,,,,,,,,,
135,Inorganic chemistry,English,"G. Christou, C.E. Housecroft","G. Christou, C.E. Housecroft",1955–present,Elsevier,18/year,2.108 (2015),2.108 (2015),Polyhedron,Polyhedron,PLYHDE,0277-5387,82643589,771157632,771157632,Polyhedron,"Polyhedron is a peer-reviewed scientific journal covering the field of inorganic chemistry. It was established in 1955 as the Journal of Inorganic and Nuclear Chemistry and is published by Elsevier.
",,Journal of Inorganic and Nuclear Chemistry,,,,,,,,,,
136,Chemistry,English,,English,1841,Chemical Society (United Kingdom),,,Chemical Society (United Kingdom),Proc. Chem. Soc.,Proc. Chem. Soc.,PCSLAW,0369-8718,,,0369-8718,Proceedings of the Chemical Society,"The Proceedings of the Chemical Society was a scientific journal published at various times in the life of the Chemical Society, a scientific society in the United Kingdom that combined with other societies to form the Royal Society of Chemistry in 1980. In 1841, the Society published Memoirs of the Chemical Society, renamed in 1842 to Proceedings of the Chemical Society. Together these were volume 1. Volumes 2 and 3 were published as Memoirs and Proceedings, Chemical Society, London between 1843 and 1848. The Proceedings of the Chemical Society, London were published from vol. 1, 1885 to vol. 30, 1914 and from 1950 to 1964. Between 1915 and 1956 the Proceedings of the Chemical Society, London were published as a supplement to Journal of the Chemical Society, London.
",,,,,,,,,,,,
137,Chemistry,English,Russell J Cox,Russell J Cox,2011-present,Royal Society of Chemistry (United Kingdom),Irregular (70+/year),3.36 (2020),3.36 (2020),RSC Adv.,RSC Adv.,RSCACL,2046-2069,,778745168,778745168,RSC Advances,"RSC Advances is an online-only peer-reviewed scientific journal covering research on all aspects of the chemical sciences. It was established in 2011 and is published by the Royal Society of Chemistry. The editor-in-chief is Russell J. Cox (Leibniz University Hannover).
",,,,,,,,,,,,
138,Chemistry,"mostly Spanish, some English",,"mostly Spanish, some English",1977–present,"Facultad de Ciencias Puras y Naturales, Carrera de Química (Bolivia)",,,"Facultad de Ciencias Puras y Naturales, Carrera de Química (Bolivia)",Rev. Boliv. Quím.,Rev. Boliv. Quím.,RBQUDX,0250-5460,,,0250-5460,Revista Boliviana de Química,"The Revista Boliviana de Química (ISSN 0250-5460, CODEN RBQUDX) is a Bolivian scientific journal in chemistry. It was founded in 1977 and is published by the Facultad de Ciencias Puras y Naturales Publicación de la Carrera de Química, Carrera de Química at the Campus Universitario Cota Cota, in La Paz. The journal was not published from 1980 to 1982.
",,,,,,,,,,,,
139,Chemistry,Spain,,Spain,1944–present,Sociedad Venezolana Química (Venezolana),,,Sociedad Venezolana Química (Venezolana),Rev. Soc. Venez. Quím.,Rev. Soc. Venez. Quím.,RSVQAQ,0370-7474,,,0370-7474,Revista de la Sociedad Venezolana Química,"The Revista de la Sociedad Venezolana Química (ISSN 0370-7474, CODEN RSVQAQ), is a Venezolanan scientific journal in chemistry. It was founded in 1944 by the Sociedad Venezolana Química (SVQ), Caracas. The latest published volume is 26 (2003).
",,,,,,,,,,,,
140,Pharmaceutical sciences,"English, German",Helmut Viernstein,Helmut Viernstein,1930-present,MDPI,Quarterly,,cc-by,Sci. Pharm.,Sci. Pharm.,SCPHA4,0036-8709 (print)2218-0532 (web),,,0036-8709 (print)2218-0532 (web),Scientia Pharmaceutica,"Scientia Pharmaceutica is a peer-reviewed open access scientific journal publishing original research papers, short communications and a limited number of reviews on all fields of pharmaceutical sciences and related areas, as well as on pharmaceutical practice. Since 2008 all articles are published open access.[1]
",,,Yes,,cc-by,,,,,,,
141,Materials science,English,Darrin Pochan,Darrin Pochan,2005–present,Royal Society of Chemistry (United Kingdom),Weekly,3.399 (2018),3.399 (2018),Soft Matter,Soft Matter,SMOABF,1744-683X (print)1744-6848 (web),2005252381,60579554,60579554,Soft Matter,"
",,,,,,,,,,,,
142,Spectroscopy,English,,English,1968-present,Taylor & Francis,10/year,0.852 (2014),0.852 (2014),Spectrosc. Lett.,Spectrosc. Lett.,,0038-7010 (print)1532-2289 (web),,,0038-7010 (print)1532-2289 (web),Spectroscopy Letters,"Spectroscopy Letters is a peer-reviewed scientific journal for rapid communications about work on a wide variety of spectroscopic methods covering all aspects of  spectroscopy.
",,,,,,,,,,,,
143,Materials science,English,C. T. Campbell,C. T. Campbell,1981-present,North-Holland,Monthly,9.688 (2020),9.688 (2020),Surf. Sci. Rep.,Surf. Sci. Rep.,SSREDI,0167-5729,92645771,07969615,07969615,Surface Science Reports,"Surface Science Reports is a peer-reviewed scientific journal published by North-Holland that covers the physics and chemistry of surfaces. It was established in 1981. It is the review journal corresponding to the journals Surface Science and Surface Science Letters.
",,,,,,,,,,,,
144,Chemistry,English,,English,1989 to present,Georg Thieme Verlag KG (Germany),,2.369 (2017),2.369 (2017),Synlett,Synlett,,0936-5214 (print)1437-2096 (web),,,0936-5214 (print)1437-2096 (web),Synlett,"Synlett is an international scientific journal for accounts and rapid communications of original contributions of fundamental research in synthetic organic chemistry. The impact factor of this journal is 2.419 (2017).[1] Nature featured a brief piece by the editor-in-chief of the journal in 2017, Benjamin List, where he discussed the journal's experience with the non-traditional peer review system.[2]
",,,,,,,,,,,,
145,Chemistry,English,,English,1969—,Thieme (Germany & United States),,,Thieme (Germany & United States),Synthesis,Synthesis,,0039-7881,,,0039-7881,Synthesis,"Synthesis is a scientific journal published from 1969 to the present day by Thieme. Its stated purpose is the ""advancement of the science of synthetic chemistry"".
",,,,,,,,,,,,
146,,English,,,,,,,,Sci. China,,,,,,,Science China,"
Coordinates: 39°54′35″N 116°19′47″E﻿ / ﻿39.9096°N 116.3296°E﻿ / 39.9096; 116.3296
",English,,,,,,,,,,,
147,Analytical chemistry,English,"G.D. Christian , J.-.M. Kauffmann","G.D. Christian , J.-.M. Kauffmann",1958–present,Elsevier,15/year,5.339 (2019),5.339 (2019),Talanta,Talanta,TLNTA2,0039-9140 (print)1873-3573 (web),,01767116,01767116,Talanta,"Talanta is a peer-reviewed scientific journal in pure and applied analytical chemistry. It was established in 1958 and is published by Elsevier, with 15 issues per year. In addition to original research articles, Talanta also publishes review articles and short communications.
",,,,,,,,,,,,
148,Organic chemistry,English,"L. Ghosez, G.-Q. Lin, S.F. Martin, W.B. Motherwell, G.P. Pandey, B.M. Stoltz, R.J.K. Taylor, K. Tomioka","L. Ghosez, G.-Q. Lin, S.F. Martin, W.B. Motherwell, G.P. Pandey, B.M. Stoltz, R.J.K. Taylor, K. Tomioka",1957–present,Elsevier,Weekly,2.645 (2015),2.645 (2015),Tetrahedron,Tetrahedron,TETRAB,0040-4020,57003385,1606999,1606999,Tetrahedron,"Tetrahedron is a weekly peer-reviewed scientific journal covering the field of organic chemistry. According to the Journal Citation Reports, the journal has a 2014 impact factor of 2.641.[1] Tetrahedron and Elsevier, its publisher, support an annual symposium.[2] In 2010, complaints were raised over its high subscription cost.[3]
",,,,,,,,,,,,
149,Organic chemistry,English,,English,1959–present,Elsevier (United Kingdom),weekly,2.379 (2014),2.379 (2014),Tetrahedron Lett.,Tetrahedron Lett.,,0040-4039,,,0040-4039,Tetrahedron Letters,"Tetrahedron Letters is a weekly international journal for rapid publication of full original research papers in the field of organic chemistry. According to the Journal Citation Reports, the journal has a 2014 impact factor of 2.379 and it is ranked 22nd out of 57 journals in the ""Organic Chemistry"" category.[1]
",,,,,,,,,,,,
150,Chemistry,English,C. Adamo and I. Ciofini,C. Adamo and I. Ciofini,1962-present,Springer (Germany),,2.233 (2014),2.233 (2014),Theor. Chem. Acc.,Theor. Chem. Acc.,,1432-2234,,,1432-2234,Theoretical Chemistry Accounts,"Theoretical Chemistry Accounts: Theory, Computation, and Modeling is a peer-reviewed scientific journal publishing original (primary) research and review articles in theoretical chemistry, quantum chemistry, and computational chemistry. It was founded in 1962 as Theoretica Chimica Acta. The publisher is Springer Berlin Heidelberg. The impact factor of this journal is 2.233 (2014).[1] The editor-in-chief is the team of Carlo Adamo and Ilaria Ciofini, the associate editor is Weitao Yang, and the chief advisory editor is Donald G. Truhlar.
",,Theoretica Chimica Acta,,,,,,,,,,
151,Analytical chemistry,English,Janusz Pawliszyn,Janusz Pawliszyn,1981–present,Elsevier,Monthly,9.801 (2020),9.801 (2020),Trends Anal. Chem.,Trends Anal. Chem.,TTAEDJ,0165-9936,82646003,9521237,9521237,Trends in Analytical Chemistry,"Trends in Analytical Chemistry is a peer reviewed journal in analytical chemistry with reviews of the latest developments in the field. Its editor as of 2019 is Janusz Pawliszyn.
",,,,,,,,,,,,
152,ChemistryPhysicsBiosciences,German,,German,1946-1947,Dieterich'sche Verlagsbuchhandlung (Germany),Monthly,,,Z. Naturforsch.,,,,,49026338,49026338,Zeitschrift für Naturforschung,"The Zeitschrift für Naturforschung (English: Journal for Nature Research) was a peer-reviewed monthly academic journal that was established by Kaiser Wilhelm Institute scientists in 1946. It published original German-language research manuscripts from the fields of chemistry, physics, and the biosciences. It existed for only one year, being split into two parts in 1947, one dealing with physical sciences (Zeitschrift für Naturforschung A) and the other covering the chemical and biosciences (Zeitschrift für Naturforschung B). The biosciences were separated in 1973 (Zeitschrift für Naturforschung C), resulting in three successor journals.[1] The three current journals are all considered to begin with the 1946 volume; consequently, all three journals use the same volume number in each calendar year. The publisher typically uses the abbreviation Z. Naturforsch. for all three journals with the part indicated in the volume number. For example, an article in a 2012 issue of Part A might be referenced in some places as being from volume ""67a"" of Z. Naturforsch., but in other places references will show volume ""67"" of ""Z. Naturforsch. A"".
",Monthly,,,,,,,,,,,Z. Naturforsch.
153,Chemistry,"English, German",Gerhard Müller,Gerhard Müller,1947–present,De Gruyter,Monthly,1.047,1.047,Z. Naturforsch. B,Z. Naturforsch. B,ZNBSEN,0932-0776,87642615,476230307,476230307,Zeitschrift für Naturforschung B,"The Zeitschrift für Naturforschung B: A Journal of Chemical Sciences is a monthly peer-reviewed scientific journal. The journal publishes ""fundamental studies in all areas of inorganic chemistry, organic chemistry, and analytical chemistry""[1] in both English and German. Articles in German are required to be accompanied by an English-language title and abstract.[2] According to the Journal Citation Reports, the journal has a 2014 impact factor of 0.744.[3] The editors-in-chief are Gerhard Müller (University of Konstanz) and Annette Schier (Technical University Munich).
",,,Hybrid,,,,,,,,,
154,Physical chemistry,English,Klaus Rademann,Klaus Rademann,1887-present,Oldenbourg Wissenschaftsverlag,Monthly,1.356 (2014),1.356 (2014),Z. Phys. Chem.,Z. Phys. Chem.,ZPCFAX,0942-9352 (print)2196-7156 (web),55041977,786468005,786468005,Zeitschrift für Physikalische Chemie,"Zeitschrift für Physikalische Chemie (English: Journal of Physical Chemistry) is a monthly peer-reviewed scientific journal covering physical chemistry that is published by Oldenbourg Wissenschaftsverlag. Its English subtitle is ""International Journal of Research in Physical Chemistry and Chemical Physics"". It was established in 1887 by Wilhelm Ostwald, Jacobus Henricus van 't Hoff, and Svante August Arrhenius as the first scientific journal for publications specifically in the field of physical chemistry.[1] The editor-in-chief is Klaus Rademann (Humboldt University of Berlin).
",,,,,,,,,,,,
